"Magento Development","Разработка на Magento"
"Auth settings","Настройки авторизации"
"Outlet_ID","Идентификатор торговой точки"
"Secret password","Секретный ключ точки"
"Result password","Секретный ключ для Result"
"Additional settings","Дополнительный режим"
"Session lifetime","Время жизни сессии на оплату"
"Test mode","Режим тестирования"
"Redirect to service after submitting order","Перенаправлять покупателя на оплату сразу после создания заказа"
"Send additional e-mail when order is successfully paid","Отправить дополнительное письмо, когда заказ будет оплачен"
"Message text","Текст письма"
"Send invoice via e-mail when order is successfully paid","Отправить инвойс при успешной оплате"
"New order status","Статус нового заказа"
"Send additional e-mail when order is successfully paid to this address","Отправить дополнительное письмо о успешной оплате заказа сюда"
"Debug","Режим отладки"
"Choose on merchant interface","Выбрать на странице платежного шлюза"
